GachaID	HitNum	MissLotNum	GuaranteedPossessionCategory
200000006	1	5	2
200000006	2	8	2
200000006	3	8	2
200000006	4	10	2
200000006	5	10	2
200000006	6	15	2
200000006	7	15	2
200000006	8	15	2
200000006	9	15	2
200000006	10	15	2
200000006	11	20	2
200000006	12	20	2
200000006	13	20	2
200000006	14	20	2
200000006	15	20	2
200000006	16	20	2
200000006	17	20	2
200000006	18	20	2
200000006	19	20	2
200000006	20	20	2
200000006	21	25	2
200000006	22	25	2
200000006	23	25	2
200000006	24	25	2
200000006	25	25	2
200000006	26	25	2
200000006	27	25	2
200000006	28	25	2
200000006	29	25	2
200000006	30	25	2
200000006	31	25	2
200000006	32	25	2
200000006	33	25	2
200000006	34	25	2
200000006	35	25	2
200000006	36	25	2
200000006	37	25	2
200000006	38	25	2
200000006	39	25	2
200000006	40	25	2
200000006	41	25	2
200000006	42	25	2
200000006	43	25	2
200000006	44	25	2
200000006	45	25	2
200000006	46	25	2
200000006	47	25	2
200000006	48	25	2
200000006	49	25	2
200000006	50	25	2
200000006	51	25	2
200000006	52	25	2
200000006	53	25	2
200000006	54	25	2
200000006	55	25	2
200000006	56	25	2
200000006	57	25	2
200000006	58	25	2
200000006	59	25	2
200000006	60	25	2
200000006	61	25	2
200000006	62	25	2
200000006	63	25	2
200000006	64	25	2
200000006	65	25	2
200000006	66	25	2
200000006	67	25	2
200000006	68	25	2
200000006	69	25	2
200000006	70	25	2
200000006	71	25	2
200000006	72	25	2
200000006	73	25	2
200000006	74	25	2
200000006	75	25	2
200000006	76	25	2
200000006	77	25	2
200000006	78	25	2
200000006	79	25	2
200000006	80	25	2
200000006	81	25	2
200000006	82	25	2
200000006	83	25	2
200000006	84	25	2
200000006	85	25	2
200000006	86	25	2
200000006	87	25	2
200000006	88	25	2
200000006	89	25	2
200000006	90	25	2
200000006	91	25	2
200000006	92	25	2
200000006	93	25	2
200000006	94	25	2
200000006	95	25	2
200000006	96	25	2
200000006	97	25	2
200000006	98	25	2
200000006	99	25	2
